o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BELGRANO AVDA.	1189	1092	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1189	1092	CO	SM	LIMA	SALTA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PINTO	4851	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	PINTO	4851	1429	CO	SM	PICO	NICOLAS DE VEDIA	N
BUENOS AIRES	HAEDO	CASTRO EMILIO	729	1706	BUENOS AIRES	MORON	HAEDO		GDOR E CASTRO	729	1706	CO	SM	CONCORDIA	ENRIQUE DEL VALLE IBERLUCEA	N
BUENOS AIRES	LANUS	AV. SAN MARTIN	3694	1824	BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA EDEN ARGENTINO	AV GRAL SAN MARTIN	3694	1826	CO	SM	SAN VLADIMIRO	CORONEL GREGORIO PERDRIEL	N
BUENOS AIRES	JOSE INGENIEROS		BRANDSEN	2	BUENOS AIRES	TRES DE FEBRERO	JOSE INGENIEROS	PARTIDO 3 DE FEBRERO	BRANDSEN		2	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VIAMONTE	540	1053	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	540	1053	CO	SM	SAN MARTIN	FLORIDA	N
SANTA FE	ROSARIO	CORDOBA	1438	2000	SANTA FE	ROSARIO	ROSARIO	CENTRO	CORDOBA	1438	2000	CO	SM	CORRIENTES	PARAGUAY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MAIPU	42	1084	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084	CO	SM	BATALLA DE CHACABUCO	GENERAL BARTOLOME MITRE	N
ENTRE RIOS	CONCORDIA	SAN LORENZO (OESTE)	748	3200	ENTRE RIOS	CONCORDIA	CONCORDIA		SAN LORENZO OESTE	748	3200	CO	SM	NOGOYA	LA PAZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MORENO	1417	1093	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR M MORENO	1417	1093	CO	SM	SAN JOSE	PRESIDENTE LUIS SAENZ PEÑA	N
SANTA FE	FRANCK	RIVADAVIA	1998	3009	SANTA FE	LAS COLONIAS	FRANCK		PRES BERNARDINO RIVADAVIA	1998	3009	CO	SM			N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	TEJEDOR	733	1424	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	DR C TEJEDOR	733	1424	CO	SM	MARCOS RIGLOS	SAN JOSE DE CALASANZ	N
BUENOS AIRES	LOMAS DEL MIRADOR	BRIGADIER GRAL JUAN MANUEL DE ROSAS	1590	1752	BUENOS AIRES	LA MATANZA	LOMAS DEL MIRADOR		AV BDIER J M DE ROSAS	1590	1752	CO	SM	BOLIVAR	CORONEL JUAN PASCUAL PRINGLES	N
BUENOS AIRES	SAN MARTIN	CALLE 84	4357	1650	BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		CALLE 84	4357	1650	NE	CI			
BUENOS AIRES	SAN MARTIN		INT. CAMPOS		BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	INT CAMPOS			NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LINIERS VIRREY	1935	1241	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	VIRREY LINIERS	1935	1241	CO	SM	MIGUEL DE SALCEDO	LAS CASAS	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VEGA NICETO CORONEL	5047	1414	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	CNEL N VEGA	5047	1414	CO	SM	DOCTOR JOSE MARIANO SERRANO	JOSE IGNACIO THAMES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALSINA ADOLFO	478	1087	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	478	1087	CO	SM	DEFENSA	GENERAL SIMON BOLIVAR	N
BUENOS AIRES	PEHUAJO	ZANNI	253	6450	BUENOS AIRES	PEHUAJO	PEHUAJO		CDORO P LUIS ZANNI	253	6450	CO	SM	DOCTOR JUAN GUALBERTO GODOY	JUAN BAUTISTA ALBERDI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PEREYRA LUCENA	2536	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	PEREYRA L	2536	1425	CO	SM	AVENIDA GENERAL JUAN GREGORIO DE LAS HERAS	JOSE LEON PAGANO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LIMA	711	1073	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	711	1073	CO	SM	CHILE	AVENIDA INDEPENDENCIA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PARANA	851	1017	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PARANA	851	1017	CO	SM	AVENIDA CORDOBA	PARAGUAY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BALCARCE	248	1064	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	BALCARCE	248	1064	CO	SM	DOCTOR ADOLFO ALSINA	DOCTOR MARIANO MORENO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	GARCIA TEODORO	1963	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	T GARCIA	1963	1426	CO	SM	AVENIDA GENERAL LUIS MARIA CAMPOS	NICOLAS VILLANUEVA	N
BUENOS AIRES	JOSE C. PAZ	PTE. PERON	4346	1665	BUENOS AIRES	JOSE CLEMENTE PAZ	JOSE CLEMENTE PAZ		AV PTE J D PERON	4346	1665	CO	SM	JUAN DIAZ DE SOLIS	JORGE NEWBERY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CUBAS JOSE	3418	1419	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	J CUBAS	3418	1419	CO	SM	FELIPE LLAVALLOL	AVENIDA GENERAL JOSE DE SAN MARTIN	N
CORDOBA	CORDOBA	AV CASTRO BARROS	1176	5000	CORDOBA	CAPITAL	CORDOBA	BAJO GALAN	BV CASTRO BARROS	1176	5008	CO	SM	BIALET MASSE	GALAN BAILON	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CORDOBA AVDA.	991	1054	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	991	1054	CO	SM	SUIPACHA	PRESIDENTE CARLOS PELLEGRINI	N
